Customer type,Gender,Product line,Unit price,Quantity,Time,Payment,Gross margin ,Rating,Day,Month
Normal,Female,Food and beverages,33.98,9,10:43,Cash,4.761904762,4.2,24,3
Member,Male,Electronic accessories,81.97,10,14:30,Cash,4.761904762,9.2,3,3
Member,Female,Sports and travel,16.49,2,11:32,Ewallet,4.761904762,4.6,5,2
Member,Female,Health and beauty,98.21,3,10:41,Credit card,4.761904762,7.8,5,2
Normal,Female,Fashion accessories,72.84,7,12:44,Cash,4.761904762,8.4,15,2
Member,Male,Home and lifestyle,58.07,9,20:07,Ewallet,4.761904762,4.3,19,1
Member,Female,Home and lifestyle,80.79,9,20:31,Credit card,4.761904762,9.5,1,2
Normal,Female,Fashion accessories,27.02,3,13:01,Credit card,4.761904762,7.1,2,3
Member,Male,Fashion accessories,21.94,5,12:29,Ewallet,4.761904762,5.3,5,3
Member,Male,Fashion accessories,51.36,1,15:26,Ewallet,4.761904762,5.2,16,1
Normal,Female,Food and beverages,10.96,10,20:48,Ewallet,4.761904762,6,2,2
Normal,Male,Home and lifestyle,53.44,2,20:38,Ewallet,4.761904762,4.1,20,1
Normal,Female,Electronic accessories,99.56,8,17:03,Credit card,4.761904762,5.2,14,2
Member,Male,Sports and travel,57.12,7,12:02,Credit card,4.761904762,6.5,12,1
Member,Male,Sports and travel,99.96,9,17:26,Credit card,4.761904762,4.2,9,3
Member,Male,Home and lifestyle,63.91,8,19:52,Credit card,4.761904762,4.6,13,3
Member,Female,Fashion accessories,56.47,8,14:57,Ewallet,4.761904762,7.3,9,3
Normal,Female,Home and lifestyle,93.69,7,18:44,Credit card,4.761904762,4.5,10,3
Normal,Female,Sports and travel,32.25,5,13:26,Cash,4.761904762,9,27,1
Normal,Female,Fashion accessories,31.73,9,16:17,Credit card,4.761904762,5.9,8,1
Member,Female,Food and beverages,68.54,8,15:57,Ewallet,4.761904762,8.5,8,1
Normal,Female,Sports and travel,90.28,9,11:15,Ewallet,4.761904762,7.2,8,2
Normal,Female,Fashion accessories,39.62,7,13:18,Cash,4.761904762,7.5,25,1
Member,Female,Sports and travel,92.13,6,20:34,Cash,4.761904762,8.3,6,3
Normal,Female,Sports and travel,34.84,4,18:36,Cash,4.761904762,7.4,10,2
Member,Male,Electronic accessories,87.45,6,14:40,Credit card,4.761904762,8.8,17,2
Normal,Female,Health and beauty,81.3,6,16:43,Ewallet,4.761904762,5.3,8,3
Normal,Male,Fashion accessories,90.22,3,19:39,Cash,4.761904762,6.2,18,2
Normal,Female,Electronic accessories,26.31,5,20:59,Credit card,4.761904762,8.8,18,1
Member,Female,Home and lifestyle,34.42,6,15:39,Cash,4.761904762,9.8,18,2
Normal,Male,Sports and travel,51.91,10,12:21,Cash,4.761904762,8.2,16,2
Normal,Male,Sports and travel,72.5,8,19:25,Ewallet,4.761904762,9.2,16,3
Member,Female,Sports and travel,89.8,10,13:00,Credit card,4.761904762,5.4,23,1
Member,Male,Health and beauty,90.5,10,13:48,Cash,4.761904762,8.1,25,1
Member,Female,Health and beauty,68.6,10,19:57,Cash,4.761904762,9.1,5,2
Member,Female,Food and beverages,30.41,1,10:36,Credit card,4.761904762,8.4,22,2
Normal,Female,Home and lifestyle,77.95,6,16:37,Ewallet,4.761904762,8,21,1
Normal,Female,Health and beauty,46.26,6,17:11,Credit card,4.761904762,9.5,8,3
Member,Female,Fashion accessories,30.14,10,12:28,Ewallet,4.761904762,9.2,10,2
Normal,Male,Health and beauty,66.14,4,12:46,Credit card,4.761904762,5.6,19,3
Member,Male,Home and lifestyle,71.86,8,15:07,Credit card,4.761904762,6.2,6,3
Normal,Male,Health and beauty,32.46,8,13:48,Credit card,4.761904762,4.9,27,3
Member,Female,Fashion accessories,91.54,4,19:20,Credit card,4.761904762,4.8,23,3
Member,Male,Sports and travel,34.56,7,16:07,Credit card,4.761904762,7.3,11,3
Normal,Male,Fashion accessories,83.24,9,11:56,Credit card,4.761904762,7.4,29,1
Normal,Female,Food and beverages,16.48,6,18:23,Ewallet,4.761904762,9.9,7,2
Normal,Female,Sports and travel,80.97,8,13:05,Cash,4.761904762,9.3,28,1
Member,Male,Food and beverages,92.29,5,15:55,Credit card,4.761904762,9,20,2
Member,Male,Electronic accessories,72.17,1,19:40,Cash,4.761904762,6.1,4,1
Normal,Male,Home and lifestyle,50.28,5,13:58,Ewallet,4.761904762,9.7,7,3
Member,Male,Health and beauty,97.22,9,14:43,Ewallet,4.761904762,6,30,3
Normal,Male,Sports and travel,93.39,6,19:18,Ewallet,4.761904762,10,27,3
Normal,Female,Food and beverages,43.18,8,19:39,Credit card,4.761904762,8.3,19,1
Normal,Male,Sports and travel,63.69,1,16:21,Cash,4.761904762,6,25,2
Normal,Male,Food and beverages,45.79,7,19:44,Credit card,4.761904762,7,13,3
Normal,Male,Sports and travel,76.4,2,19:42,Ewallet,4.761904762,6.5,30,1
Normal,Male,Food and beverages,39.9,10,15:24,Credit card,4.761904762,5.9,20,2
Member,Male,Health and beauty,42.57,8,14:12,Ewallet,4.761904762,5.6,25,2
Normal,Male,Home and lifestyle,95.58,10,13:32,Cash,4.761904762,4.8,16,1
Normal,Male,Fashion accessories,98.98,10,16:20,Credit card,4.761904762,8.7,8,2
Normal,Male,Food and beverages,51.28,6,16:31,Cash,4.761904762,6.5,19,1
Member,Male,Sports and travel,69.52,7,15:10,Credit card,4.761904762,8.5,1,2
Normal,Male,Health and beauty,70.01,5,11:36,Ewallet,4.761904762,5.5,3,1
Member,Male,Food and beverages,80.05,5,12:45,Credit card,4.761904762,9.4,26,1
Normal,Male,Electronic accessories,20.85,8,19:17,Cash,4.761904762,6.3,3,3
Member,Male,Electronic accessories,52.89,6,17:34,Credit card,4.761904762,9.8,19,1
Normal,Male,Food and beverages,19.79,8,12:04,Ewallet,4.761904762,8.7,18,1
Member,Male,Home and lifestyle,33.84,9,16:21,Ewallet,4.761904762,8.8,21,3
Member,Male,Food and beverages,22.17,8,17:01,Credit card,4.761904762,9.6,3,3
Normal,Female,Fashion accessories,22.51,7,10:50,Credit card,4.761904762,4.8,13,2
Normal,Male,Food and beverages,73.88,6,19:16,Ewallet,4.761904762,4.4,23,3
Member,Male,Health and beauty,86.8,3,16:47,Ewallet,4.761904762,9.9,28,1
Normal,Male,Fashion accessories,64.26,7,10:00,Cash,4.761904762,5.7,9,2
Member,Male,Food and beverages,38.47,8,11:51,Cash,4.761904762,7.7,23,1
Member,Male,Sports and travel,15.5,10,10:55,Ewallet,4.761904762,8,23,3
Normal,Male,Health and beauty,34.31,8,15:00,Ewallet,4.761904762,5.7,25,1
Normal,Female,Sports and travel,12.34,7,11:19,Credit card,4.761904762,6.7,4,3
Member,Male,Food and beverages,18.08,3,19:46,Ewallet,4.761904762,8,5,3
Member,Female,Home and lifestyle,94.49,8,19:00,Ewallet,4.761904762,7.5,3,3
Member,Male,Home and lifestyle,46.47,4,10:53,Cash,4.761904762,7,8,2
Normal,Male,Home and lifestyle,74.07,1,12:50,Ewallet,4.761904762,9.9,10,2
Normal,Female,Home and lifestyle,69.81,4,20:50,Credit card,4.761904762,5.9,28,1
Normal,Female,Home and lifestyle,77.04,3,10:39,Credit card,4.761904762,7.2,11,2
Normal,Female,Fashion accessories,73.52,2,13:41,Ewallet,4.761904762,4.6,15,1
Normal,Female,Food and beverages,87.8,9,19:08,Cash,4.761904762,9.2,16,3
Normal,Male,Home and lifestyle,25.55,4,20:23,Ewallet,4.761904762,5.7,26,1
Normal,Male,Electronic accessories,32.71,5,11:30,Credit card,4.761904762,9.9,19,3
Member,Female,Fashion accessories,74.29,1,19:30,Cash,4.761904762,5,13,1
Member,Male,Health and beauty,43.7,2,18:03,Cash,4.761904762,4.9,26,3
Normal,Female,Home and lifestyle,25.29,1,10:13,Ewallet,4.761904762,6.1,23,3
Normal,Male,Health and beauty,41.5,4,19:58,Credit card,4.761904762,8.2,12,3
Member,Female,Food and beverages,71.39,5,19:57,Credit card,4.761904762,5.5,17,2
Member,Female,Sports and travel,19.15,6,10:01,Credit card,4.761904762,6.8,29,1
Member,Female,Electronic accessories,57.49,4,11:57,Cash,4.761904762,6.6,15,3
Normal,Male,Electronic accessories,61.41,7,10:02,Cash,4.761904762,9.8,14,1
Member,Male,Health and beauty,25.9,10,14:51,Ewallet,4.761904762,8.7,6,2
Member,Male,Home and lifestyle,17.77,5,12:42,Credit card,4.761904762,5.4,15,2
Normal,Female,Health and beauty,23.03,9,12:02,Ewallet,4.761904762,7.9,3,1
Member,Female,Electronic accessories,66.65,9,18:19,Credit card,4.761904762,9.7,4,1
Member,Female,Home and lifestyle,28.53,10,17:38,Ewallet,4.761904762,7.8,18,3
Normal,Female,Fashion accessories,30.37,3,13:41,Ewallet,4.761904762,5.1,28,3
Normal,Female,Electronic accessories,99.73,9,19:42,Credit card,4.761904762,6.5,2,3
Normal,Male,Electronic accessories,26.23,9,20:24,Ewallet,4.761904762,5.9,25,1
Normal,Female,Food and beverages,93.26,9,18:08,Cash,4.761904762,8.8,16,1
Normal,Male,Home and lifestyle,92.36,5,19:17,Ewallet,4.761904762,4.9,20,3
Normal,Male,Sports and travel,46.42,3,13:24,Credit card,4.761904762,4.4,4,1
Member,Female,Sports and travel,29.61,7,15:53,Cash,4.761904762,6.5,11,3
Normal,Male,Home and lifestyle,18.28,1,15:05,Credit card,4.761904762,8.3,22,3
Normal,Female,Sports and travel,24.77,5,18:27,Cash,4.761904762,8.5,24,3
Member,Female,Electronic accessories,94.64,3,16:55,Cash,4.761904762,5.5,21,2
Normal,Male,Fashion accessories,94.87,8,12:58,Ewallet,4.761904762,8.7,12,2
Normal,Female,Food and beverages,57.34,3,18:59,Credit card,4.761904762,7.9,10,3
Normal,Male,Electronic accessories,45.35,6,13:44,Ewallet,4.761904762,6.1,31,1
Normal,Male,Food and beverages,62.08,7,13:46,Ewallet,4.761904762,5.4,6,3
Normal,Male,Electronic accessories,11.81,5,18:06,Cash,4.761904762,9.4,17,2
Member,Female,Fashion accessories,12.54,1,12:38,Cash,4.761904762,8.2,21,2
Normal,Male,Food and beverages,43.25,2,15:56,Cash,4.761904762,6.2,20,3
Member,Female,Sports and travel,87.16,2,14:29,Credit card,4.761904762,9.7,11,1
Member,Male,Health and beauty,69.37,9,19:14,Ewallet,4.761904762,4,26,1
Member,Male,Electronic accessories,37.06,4,16:24,Ewallet,4.761904762,9.7,31,1
Member,Female,Electronic accessories,90.7,6,10:52,Cash,4.761904762,5.3,26,2
Normal,Female,Home and lifestyle,63.42,8,12:55,Ewallet,4.761904762,7.4,11,3
Normal,Female,Fashion accessories,81.37,2,19:28,Cash,4.761904762,6.5,26,1
Member,Female,Electronic accessories,10.59,3,13:52,Credit card,4.761904762,8.7,12,3
Normal,Female,Health and beauty,84.09,9,10:54,Cash,4.761904762,8,11,2
Member,Male,Fashion accessories,73.82,4,18:31,Cash,4.761904762,6.7,21,2
Member,Male,Health and beauty,51.94,10,18:24,Ewallet,4.761904762,6.5,9,3
Normal,Female,Sports and travel,93.14,2,18:09,Ewallet,4.761904762,4.1,20,1
Normal,Male,Health and beauty,17.41,5,15:16,Credit card,4.761904762,4.9,28,1
Member,Female,Fashion accessories,44.22,5,17:07,Credit card,4.761904762,8.6,5,3
Member,Female,Electronic accessories,13.22,5,19:26,Cash,4.761904762,4.3,2,3
Normal,Male,Fashion accessories,89.69,1,11:20,Ewallet,4.761904762,4.9,11,1
Normal,Male,Food and beverages,24.94,9,16:49,Credit card,4.761904762,5.6,11,1
Normal,Male,Health and beauty,59.77,2,12:01,Credit card,4.761904762,5.8,11,3
Member,Male,Fashion accessories,93.2,2,18:37,Credit card,4.761904762,6,28,2
Member,Male,Home and lifestyle,62.65,4,11:25,Cash,4.761904762,4.2,5,1
Normal,Male,Home and lifestyle,93.87,8,18:42,Credit card,4.761904762,8.3,2,2
Member,Male,Home and lifestyle,47.59,8,14:47,Cash,4.761904762,5.7,1,1
Member,Female,Electronic accessories,81.4,3,19:43,Cash,4.761904762,4.8,9,2
Member,Male,Fashion accessories,17.94,5,14:04,Ewallet,4.761904762,6.8,23,1
Member,Male,Electronic accessories,77.72,4,16:11,Credit card,4.761904762,8.8,7,1
Normal,Male,Food and beverages,73.06,7,19:06,Credit card,4.761904762,4.2,14,1
Member,Male,Food and beverages,46.55,9,15:34,Ewallet,4.761904762,6.4,2,2
Member,Male,Fashion accessories,35.19,10,19:06,Credit card,4.761904762,8.4,17,3
Normal,Female,Sports and travel,14.39,2,19:44,Credit card,4.761904762,7.2,2,3
Normal,Male,Home and lifestyle,23.75,4,11:22,Cash,4.761904762,5.2,16,3
Member,Male,Home and lifestyle,58.9,8,11:23,Cash,4.761904762,8.9,6,1
Member,Male,Fashion accessories,32.62,4,14:12,Cash,4.761904762,9,29,1
Member,Male,Electronic accessories,66.35,1,10:46,Credit card,4.761904762,9.7,31,1
Member,Male,Home and lifestyle,25.91,6,10:16,Ewallet,4.761904762,8.7,5,2
Member,Male,Electronic accessories,32.25,4,12:38,Ewallet,4.761904762,6.5,13,2
Member,Male,Electronic accessories,65.94,4,13:05,Credit card,4.761904762,6.9,7,2
Normal,Female,Electronic accessories,75.06,9,13:25,Ewallet,4.761904762,6.2,19,3
Normal,Female,Fashion accessories,16.45,4,14:53,Ewallet,4.761904762,5.6,7,3
Member,Female,Fashion accessories,38.3,4,19:22,Cash,4.761904762,5.7,13,3
Member,Female,Sports and travel,22.24,10,11:00,Cash,4.761904762,4.2,9,2
Normal,Male,Sports and travel,54.45,1,19:24,Ewallet,4.761904762,7.9,26,2
Member,Female,Sports and travel,98.4,7,12:43,Credit card,4.761904762,8.7,12,3
Normal,Male,Home and lifestyle,35.47,4,17:22,Credit card,4.761904762,6.9,14,3
Member,Female,Food and beverages,74.6,10,20:55,Cash,4.761904762,9.5,8,1
Member,Male,Home and lifestyle,70.74,4,16:05,Credit card,4.761904762,4.4,5,1
Member,Female,Home and lifestyle,35.54,10,13:34,Ewallet,4.761904762,7,4,1
Normal,Female,Sports and travel,67.43,5,18:13,Ewallet,4.761904762,6.3,6,3
Member,Female,Health and beauty,21.12,2,19:17,Cash,4.761904762,9.7,3,1
Member,Female,Home and lifestyle,21.54,9,11:44,Credit card,4.761904762,8.8,7,1
Normal,Female,Home and lifestyle,12.03,2,15:51,Cash,4.761904762,5.1,27,1
Normal,Female,Health and beauty,99.71,6,16:52,Ewallet,4.761904762,7.9,26,2
Normal,Male,Fashion accessories,47.97,7,20:52,Cash,4.761904762,6.2,7,1
Member,Female,Home and lifestyle,21.82,10,17:36,Cash,4.761904762,7.1,7,1
Normal,Female,Fashion accessories,95.42,4,13:23,Ewallet,4.761904762,6.4,2,2
Member,Male,Fashion accessories,70.99,10,16:28,Cash,4.761904762,5.7,20,3
Member,Male,Sports and travel,44.02,10,19:57,Credit card,4.761904762,9.6,20,3
Normal,Female,Home and lifestyle,69.96,8,17:01,Credit card,4.761904762,6.4,15,2
Normal,Male,Home and lifestyle,37,1,13:29,Credit card,4.761904762,7.9,6,3
Normal,Female,Sports and travel,15.34,1,11:09,Cash,4.761904762,6.5,6,1
Member,Male,Health and beauty,99.83,6,15:02,Ewallet,4.761904762,8.5,4,3
Member,Female,Health and beauty,47.67,4,14:21,Cash,4.761904762,9.1,12,3
Normal,Male,Health and beauty,66.68,5,18:01,Cash,4.761904762,7.6,20,2
Member,Male,Home and lifestyle,74.86,1,14:49,Cash,4.761904762,6.9,24,3
Normal,Female,Sports and travel,23.75,9,12:02,Cash,4.761904762,9.5,31,1
Normal,Female,Food and beverages,48.51,7,13:30,Credit card,4.761904762,5.2,25,1
Member,Female,Home and lifestyle,94.88,7,14:38,Cash,4.761904762,4.2,3,2
Member,Male,Electronic accessories,40.3,10,17:37,Credit card,4.761904762,7,24,1
Normal,Male,Electronic accessories,27.85,7,17:20,Ewallet,4.761904762,6,14,3
Member,Female,Electronic accessories,62.48,1,20:29,Cash,4.761904762,4.7,18,2
Member,Female,Food and beverages,36.36,2,10:00,Cash,4.761904762,7.1,21,1
Normal,Male,Health and beauty,18.11,10,11:46,Ewallet,4.761904762,5.9,13,3
Member,Female,Electronic accessories,51.92,5,13:42,Cash,4.761904762,7.5,3,3
Normal,Male,Electronic accessories,28.84,4,14:44,Cash,4.761904762,6.4,29,3
Member,Male,Home and lifestyle,78.38,6,14:16,Ewallet,4.761904762,5.8,10,1
Member,Male,Home and lifestyle,60.01,4,15:54,Cash,4.761904762,4.5,25,1
Member,Female,Home and lifestyle,88.61,1,10:21,Cash,4.761904762,7.7,19,1
Normal,Male,Fashion accessories,99.82,2,18:09,Credit card,4.761904762,6.7,2,1
Member,Male,Health and beauty,39.01,1,16:46,Credit card,4.761904762,4.7,12,3
Normal,Male,Food and beverages,48.61,1,15:31,Cash,4.761904762,4.4,25,2
Normal,Female,Electronic accessories,51.19,4,17:15,Credit card,4.761904762,4.7,18,3
Normal,Female,Electronic accessories,14.96,8,12:29,Cash,4.761904762,8.6,23,2
Member,Male,Electronic accessories,72.2,7,20:14,Ewallet,4.761904762,4.3,26,3
Normal,Female,Sports and travel,40.23,7,13:22,Cash,4.761904762,9.6,30,3
Member,Female,Home and lifestyle,88.79,8,17:09,Cash,4.761904762,4.1,17,2
Member,Female,Electronic accessories,26.48,3,10:40,Ewallet,4.761904762,4.7,21,3
Normal,Female,Fashion accessories,81.91,2,17:43,Cash,4.761904762,7.8,5,3
Member,Male,Sports and travel,79.93,6,14:04,Cash,4.761904762,5.5,31,1
Member,Male,Fashion accessories,69.33,2,19:05,Ewallet,4.761904762,9.7,5,2
Member,Female,Food and beverages,14.23,5,10:08,Credit card,4.761904762,4.4,1,2
Member,Female,Health and beauty,15.55,9,13:12,Cash,4.761904762,5,7,3
Member,Female,Electronic accessories,78.13,10,20:51,Cash,4.761904762,4.4,10,2
Member,Male,Food and beverages,99.37,2,17:29,Cash,4.761904762,5.2,14,2
Member,Female,Food and beverages,21.08,3,10:25,Cash,4.761904762,7.3,9,2
Member,Male,Electronic accessories,74.79,5,11:34,Cash,4.761904762,4.9,10,1
Member,Female,Health and beauty,29.67,7,18:58,Credit card,4.761904762,8.1,11,3
Member,Male,Health and beauty,44.07,4,16:28,Ewallet,4.761904762,8.4,18,2
Normal,Female,Food and beverages,22.93,9,20:26,Cash,4.761904762,5.5,26,2
Normal,Female,Health and beauty,39.42,1,15:08,Cash,4.761904762,8.4,18,1
Normal,Male,Health and beauty,15.26,6,18:03,Ewallet,4.761904762,9.8,15,2
Normal,Female,Fashion accessories,61.77,5,13:21,Cash,4.761904762,6.7,8,3
Normal,Male,Home and lifestyle,21.52,6,12:48,Credit card,4.761904762,9.4,17,1
Normal,Male,Sports and travel,97.74,4,19:53,Ewallet,4.761904762,6.4,12,3
